-18.0, -22.0, 127.0
-17.0, -11.0, 128.0
-16.0, 0.0, 129.0
-18.0, -20.0, 128.0
-17.0, -9.0, 129.0
-12.0, -3.0, 130.0
-14.0, -23.0, 129.0
-13.0, -12.0, 130.0
-12.0, -1.0, 131.0
-21.0, -9.0, 130.0
-16.0, -3.0, 131.0
-18.0, -23.0, 130.0
-17.0, -12.0, 131.0
-16.0, -1.0, 132.0
-18.0, -21.0, 131.0
-17.0, -10.0, 132.0
-12.0, -4.0, 133.0
-14.0, -24.0, 132.0
-13.0, -13.0, 133.0
-12.0, -2.0, 134.0
-21.0, -10.0, 133.0
-16.0, -4.0, 134.0
-18.0, -24.0, 133.0
-17.0, -13.0, 134.0
-16.0, -2.0, 135.0
-18.0, -22.0, 134.0
-17.0, -11.0, 135.0
-16.0, 0.0, 136.0
-18.0, -20.0, 135.0
-17.0, -9.0, 136.0
-12.0, -3.0, 137.0
-21.0, -11.0, 136.0
-20.0, 0.0, 137.0
-22.0, -20.0, 136.0
-21.0, -9.0, 137.0
-16.0, -3.0, 138.0
-18.0, -23.0, 137.0
-17.0, -12.0, 138.0
-16.0, -1.0, 139.0
-18.0, -21.0, 138.0
-17.0, -10.0, 139.0
-12.0, -4.0, 140.0
-21.0, -12.0, 139.0
-20.0, -1.0, 140.0
-22.0, -21.0, 139.0
-21.0, -10.0, 140.0
-16.0, -4.0, 141.0
-18.0, -24.0, 140.0
-17.0, -13.0, 141.0
-16.0, -2.0, 142.0
-18.0, -22.0, 141.0
-17.0, -11.0, 142.0
-12.0, -5.0, 143.0
-14.0, -25.0, 142.0
-13.0, -14.0, 143.0
-12.0, -3.0, 144.0
-21.0, -11.0, 143.0
-16.0, -5.0, 144.0
-18.0, -25.0, 143.0
-17.0, -14.0, 144.0
-16.0, -3.0, 145.0
-18.0, -23.0, 144.0
-17.0, -12.0, 145.0
-16.0, -1.0, 146.0
-18.0, -21.0, 145.0
-17.0, -10.0, 146.0
-17.0, -10.0, 146.0
